passer_player_name,total_gwd_attempts,successful_gwd_attempts,pct_successful_gwd,games_with_gwd_attempt,games_won_with_gwd_attempt,pct_won_when_gwd_attempt,games_with_successful_gwd,games_won_after_successful_gwd,pct_won_after_successful_gwd
J.Campbell,36,3,0.08333333333333333,22,2,0.09090909090909091,1,0,0
W.Levis,15,1,0.06666666666666667,8,1,0.125,1,1,1
C.Chandler,31,2,0.06451612903225806,11,2,0.18181818181818182,1,1,1
C.McNown,24,1,0.041666666666666664,4,1,0.25,1,1,1
Ryan,1,0,0,1,0,0,0,0,
J.Germaine,2,0,0,1,0,0,0,0,
J.Luton,2,0,0,2,0,0,0,0,
J.Manziel,1,0,0,1,0,0,0,0,
J. Martin,1,0,0,1,0,0,0,0,
J.Martin,4,0,0,3,0,0,0,0,
J. Miller,1,0,0,1,0,0,0,0,
J.Garrett,1,0,0,1,0,0,0,0,
J.Navarre,1,0,0,1,0,0,0,0,
Jos.Allen,2,0,0,1,0,0,0,0,
J. Plummer,3,0,0,3,1,0.3333333333333333,0,0,
J.Quinn,3,0,0,2,0,0,0,0,
J.Eason,3,0,0,1,0,0,0,0,
J.Driskel,13,0,0,6,0,0,0,0,
J.Sorgi,2,0,0,1,0,0,0,0,
J.Tuel,2,0,0,1,0,0,0,0,
J.Wolford,2,0,0,1,0,0,0,0,
K.Allen,5,0,0,5,0,0,0,0,
J.Clausen,4,0,0,3,0,0,0,0,
J.Beck,3,0,0,2,0,0,0,0,
K.Detmer,1,0,0,1,0,0,0,0,
K.Dorsey,3,0,0,3,1,0.3333333333333333,0,0,
K. Holcomb,1,0,0,1,0,0,0,0,
G.Gilbert,3,0,0,1,0,0,0,0,
K.Null,1,0,0,1,0,0,0,0,
F.Jackson,1,0,0,1,0,0,0,0,
E.Zeier,2,0,0,1,0,0,0,0,
K. Warner,6,0,0,5,0,0,0,0,
E.Stick,3,0,0,2,0,0,0,0,
M.Bishop,1,0,0,1,0,0,0,0,
M. Brunell,2,0,0,1,0,0,0,0,
D.Wuerffel,2,0,0,1,0,0,0,0,
M.Kafka,2,0,0,1,0,0,0,0,
M.Leinart,6,0,0,4,0,0,0,0,
M.McGloin,1,0,0,1,0,0,0,0,
D.Kizer,3,0,0,3,0,0,0,0,
M.Rudolph,9,0,0,6,0,0,0,0,
D.Kanell,9,0,0,4,0,0,0,0,
D. Kanell,1,0,0,1,0,0,0,0,
D.Johnson,5,0,0,3,0,0,0,0,
M.Tomczak,3,0,0,2,0,0,0,0,
M.Tuiasosopo,2,0,0,1,0,0,0,0,
D.Hodges,4,0,0,2,0,0,0,0,
M.White,4,0,0,3,0,0,0,0,
D. Garrard,1,0,0,1,0,0,0,0,
D.Gabriel,2,0,0,2,0,0,0,0,
N.Peterman,4,0,0,2,0,0,0,0,
N.Sudfeld,2,0,0,2,0,0,0,0,
D.Fales,2,0,0,1,0,0,0,0,
D.Dixon,2,0,0,2,1,0.5,0,0,
D. Culpepper,2,0,0,2,0,0,0,0,
D.Brown,25,0,0,1,0,0,0,0,
D. Brees,3,0,0,2,0,0,0,0,
D.Blough,2,0,0,2,0,0,0,0,
R.Fasani,5,0,0,1,0,0,0,0,
R.Finley,2,0,0,2,0,0,0,0,
C.Whitehurst,6,0,0,4,0,0,0,0,
R.Leaf,9,0,0,6,0,0,0,0,
R.Lindley,1,0,0,1,0,0,0,0,
R. Lucas,1,0,0,1,0,0,0,0,
R.Mallett,2,0,0,2,0,0,0,0,
C.Pickett,1,0,0,1,0,0,0,0,
R.Mirer,7,0,0,3,0,0,0,0,
R.Peete,5,0,0,3,0,0,0,0,
R.Smith,1,0,0,1,0,0,0,0,
C.Oladokun,2,0,0,1,0,0,0,0,
C.Miller,10,0,0,1,0,0,0,0,
S.Ehlinger,4,0,0,2,0,0,0,0,
C.Hutchinson,8,0,0,4,0,0,0,0,
S.Mannion,1,0,0,1,0,0,0,0,
C.Hanie,3,0,0,2,0,0,0,0,
S.Rattler,5,0,0,4,0,0,0,0,
S.Young,1,0,0,1,1,1,0,0,
T.Bagent,3,0,0,2,0,0,0,0,
T.Boyle,5,0,0,3,0,0,0,0,
T.Bray,1,0,0,1,0,0,0,0,
T.Collins,2,0,0,1,0,0,0,0,
B.Rypien,2,0,0,1,0,0,0,0,
T.Graziani,1,0,0,1,0,0,0,0,
T.Hasselbeck,2,0,0,1,0,0,0,0,
B.Hobert,3,0,0,1,0,0,0,0,
T.McKee,3,0,0,1,0,0,0,0,
T.Palko,2,0,0,1,0,0,0,0,
T.Pryor,1,0,0,1,0,0,0,0,
B.Croyle,5,0,0,3,0,0,0,0,
B.Brister,1,0,0,1,0,0,0,0,
B.Bollinger,4,0,0,4,0,0,0,0,
A.Walter,1,0,0,1,0,0,0,0,
T.Thigpen,7,0,0,6,0,0,0,0,
A.Tanney,2,0,0,1,0,0,0,0,
W.Moon,1,0,0,1,0,0,0,0,
Z.Mettenberger,1,0,0,1,0,0,0,0,
